,open,high,low,close,adjclose,volume,ticker,future
1997-08-05,0.0002614747540832826,0.00024935679492706027,0.000239094120470421,0.0002301664092609865,0.0002301664092609865,0.02451031374588317,AMZN,0.0005695143926529514
1997-08-06,0.00022621972803863214,0.0002434895983412446,0.00025104885043582617,0.00024196983910911246,0.00024196983910911246,0.007280291211648467,AMZN,0.0005370550449951533
1997-08-07,0.0002379714258013908,0.0002288215733042092,0.00023311678969040997,0.00022131385375980168,0.00022131385375980168,0.014895706939388687,AMZN,0.0007229587105200347
1997-08-08,0.0002144680975194991,0.00024055596647584054,0.00022713945891039895,0.0002537732689572384,0.0002537732689572384,0.016605997573236265,AMZN,0.0008793538351944207
1997-08-11,0.00024972312356414956,0.00024935679492706027,0.00026898091118124226,0.00026410122786207457,0.00026410122786207457,0.0072456231582596654,AMZN,0.00091476405719916
1997-08-12,0.0002467851823125534,0.00024055596647584054,0.0002540375500285232,0.00022721560245368396,0.00022721560245368396,0.0008089212457387191,AMZN,0.0008439436131896814
1997-08-13,0.00023209561054182432,0.00022002074485298948,0.00024507151965581515,0.00022721560245368396,0.00022721560245368396,0.0009938175304789977,AMZN,0.0007598443359284253
1997-08-14,0.00021740597152746953,0.00022588794143880514,0.00023162247409675297,0.000215412172605558,0.000215412172605558,0.005338880221875543,AMZN,0.0007849265314886902
1997-08-15,0.00020565434100833647,0.00019948545608514595,0.00017932060745416147,0.00020360874275743204,0.00020360874275743204,0.010689316461547351,AMZN,0.0007495163094839507
1997-08-18,0.00018215094548281895,0.00017014933886608268,0.00018828663782686963,0.00018295282494775974,0.00018295282494775974,0.012492055237765066,AMZN,0.0008336155867452068
1997-08-19,0.0001939026432455777,0.00021415348112218134,0.00021219602935229674,0.00021836304695249914,0.00021836304695249914,0.004969087652394986,AMZN,0.0007436146958693456
1997-08-20,0.00022034391277906556,0.00020828628453636568,0.0002181734285376909,0.00021836304695249914,0.00021836304695249914,0.004934419599006184,AMZN,0.000740663753982766
1997-08-21,0.00020565434100833647,0.0002038858703107558,0.0002181734285376909,0.00020360874275743204,0.00020360874275743204,0.0013173860287744848,AMZN,0.0007421392249260557
1997-08-22,0.00019684058449717385,0.00019068462763392621,0.00022415075931770192,0.00020655961710437318,0.00020655961710437318,0.002172531345698273,AMZN,0.0007731231691802026
1997-08-25,0.00019684058449717385,0.0002288215733042092,0.00022713945891039895,0.00023311728360792764,0.00023311728360792764,0.0061593574854105285,AMZN,0.0007539425872345433
1997-08-26,0.00023503348454979476,0.0002552240586578684,0.00026300358040123124,0.00026852750561266704,0.00026852750561266704,0.020095914947709022,AMZN,0.0007391884181187533
1997-08-27,0.00025413000181973087,0.0002464232302066487,0.00026898091118124226,0.00026115035351513343,0.00026115035351513343,0.008713237418385625,AMZN,0.0006668925031659846
1997-08-28,0.00025266099757212,0.00026695845182949973,0.0002779469415539503,0.00027738006111385186,0.00027738006111385186,0.006355809787947074,AMZN,0.0007096798772682574
1997-08-29,0.00027028851059444524,0.00026109125524368407,0.0002899016715193555,0.0002670521022090157,0.0002670521022090157,0.0022649794880684124,AMZN,0.0007377129471754633
1997-09-02,0.00026441269533487876,0.00026109125524368407,0.0002928903027066695,0.00027147837995960807,0.00027147837995960807,0.0023574276304385517,AMZN,0.0007318112660212197
1997-09-03,0.00026441269533487876,0.00027282571556030787,0.00028691297192665847,0.0002655766312657259,0.0002655766312657259,0.01422545790720518,AMZN,0.0007155815584225013
1997-09-04,0.00027028851059444524,0.0003109625940855984,0.0002958790022993665,0.00032754451977401976,0.00032754451977401976,0.027549546426301502,AMZN,0.0006314822811612453
1997-09-05,0.00033198480617258356,0.0003432323431700656,0.0003287544241975018,0.00031279028311859114,0.00031279028311859114,0.01368232507078061,AMZN,0.0006314822811612453
